token(interface , interface , 2)
token(; , ; , 44)
token(} , } , 45)
token(} , } , 47)
token(return , return , 48)
token(; , ; , 48)
token(} , } , 49)
token(AM , public , 50)
token(ID , C , 50)
token(( , ( , 50)
token(DT , int , 50)
token(ID , a , 50)
token(, , , , 50)
token(DT , int , 50)
token(ID , b , 50)
token(, , , , 50)
token(DT , float , 50)
token(ID , c , 50)
token() , ) , 50)
token({ , { , 51)
token(this , this , 52)
token(. , . , 52)
token(ID , a , 52)
token(Equal , = , 52)
token(ID , a , 52)
token(; , ; , 52)
token(this , this , 53)
token(. , . , 53)
token(ID , aa , 53)
token(Equal , = , 53)
token(ID , b , 53)
token(; , ; , 53)
token(this , this , 54)
token(. , . , 54)
token(ID , objc , 54)
token(. , . , 54)
token(ID , f , 54)
token(Equal , = , 54)
token(ID , c , 54)
token(; , ; , 54)
token(} , } , 55)
token(AM , public , 57)
token(void , void , 57)
token(ID , Cfunc , 57)
token(( , ( , 57)
token(DT , int , 57)
token(ID , a , 57)
token(, , , , 57)
token(DT , string , 57)
token([ , [ , 57)
token(] , ] , 57)
token(ID , b , 57)
token() , ) , 57)
token({ , { , 58)
token(} , } , 60)
token(AM , public , 61)
token(ID , B , 61)
token([ , [ , 61)
token(, , , , 61)
token(] , ] , 61)
token(ID , Cfunc1 , 61)
token(( , ( , 61)
token(ID , C , 61)
token(ID , c , 61)
token(, , , , 61)
token(ID , B , 61)
token([ , [ , 61)
token(, , , , 61)
token(] , ] , 61)
token(ID , b , 61)
token() , ) , 61)
token({ , { , 62)
token(ID , B , 63)
token(ID , bc , 63)
token(Equal , = , 63)
token(new , new , 63)
token(ID , B , 63)
token(( , ( , 63)
token() , ) , 63)
token(; , ; , 63)
token(return , return , 64)
token(ID , b , 64)
token(; , ; , 64)
token(} , } , 65)
token(AM , public , 66)
token(DT , int , 66)
token([ , [ , 66)
token(, , , , 66)
token(] , ] , 66)
token(ID , Cfunc2 , 66)
token(( , ( , 66)
token(DT , int , 66)
token(ID , a , 66)
token(, , , , 66)
token(DT , string , 66)
token(ID , b , 66)
token() , ) , 66)
token({ , { , 67)
token(DT , int , 68)
token(ID , arr , 68)
token([ , [ , 68)
token(Integer_Constant , 4 , 68)
token(, , , , 68)
token(ID , a , 68)
token(] , ] , 68)
token(Equal , = , 68)
token({ , { , 68)
token({ , { , 68)
token(ID , a , 68)
token(, , , , 68)
token(ID , aa , 68)
token(} , } , 68)
token(, , , , 68)
token({ , { , 68)
token(ID , objc , 68)
token(. , . , 68)
token(ID , a , 68)
token(} , } , 68)
token(} , } , 68)
token(; , ; , 68)
token(return , return , 69)
token(ID , arr , 69)
token(; , ; , 69)
token(} , } , 70)
token(} , } , 71)
token(interface , interface , 72)
token(ID , BI , 72)
token(: , : , 72)
token(ID , AI , 72)
token({ , { , 73)
token(DT , int , 74)
token(ID , intFunc1 , 74)
token(( , ( , 74)
token(DT , int , 74)
token(ID , a , 74)
token(, , , , 74)
token(DT , int , 74)
token(ID , b , 74)
token(, , , , 74)
token(DT , string , 74)
token(ID , c , 74)
token() , ) , 74)
token(; , ; , 74)
token(} , } , 75)
